experiment_id,session_id,point_id,point_role,node_id,timestamp,server_ts_ms,seq,rssi_raw_dbm,rssi_filtered_dbm,sample_count,error_flags,device_offset_db,pos_x,pos_y,pos_z,ap_bssid,ap_channel,valid,invalid_reason
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811414044,1784811413663,1469,-47.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811414430,1784811414019,2199,-47.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811415052,1784811414652,1575,-44.0,-47.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811415080,1784811414666,1470,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811415440,1784811415031,2200,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811416111,1784811415700,1471,-47.0,-49.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811416127,1784811415712,1576,-51.0,-47.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811416441,1784811416033,2201,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811417071,1784811416662,1472,-47.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811417220,1784811416808,1577,-46.0,-47.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811417438,1784811417026,2202,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811418073,1784811417663,1473,-49.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811418333,1784811417921,1578,-44.0,-46.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-03,1784811418454,1784811418040,2203,-47.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,node-01,1784811419079,1784811418666,1474,-49.0,-49.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-00__1784811413629,offset-00,offset,gw-01,1784811419495,1784811419104,1579,-46.0,-46.0,,0,-2.0,,,,,,1,
