experiment_id,session_id,point_id,point_role,node_id,timestamp,server_ts_ms,seq,rssi_raw_dbm,rssi_filtered_dbm,sample_count,error_flags,device_offset_db,pos_x,pos_y,pos_z,ap_bssid,ap_channel,valid,invalid_reason
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811571206,1784811570823,1625,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811571792,1784811571381,31,-52.0,-50.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811571957,1784811571546,1716,-43.0,-44.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811572214,1784811571813,1626,-48.0,-48.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811572802,1784811572392,32,-51.0,-51.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811573068,1784811572657,1717,-48.0,-45.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811573220,1784811572808,1627,-47.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811573803,1784811573392,33,-48.0,-50.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811574230,1784811573817,1718,-48.0,-45.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811574242,1784811573831,1628,-47.0,-47.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811574816,1784811574405,34,-50.0,-49.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811575292,1784811574880,1629,-46.0,-46.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811575318,1784811574905,1719,-44.0,-45.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811575811,1784811575399,35,-48.0,-49.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811576239,1784811575828,1630,-47.0,-46.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811576402,1784811575990,1720,-44.0,-45.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811576820,1784811576409,36,-49.0,-50.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811577245,1784811576833,1631,-45.0,-45.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,gw-01,1784811577510,1784811577099,1721,-44.0,-46.0,,0,-2.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-03,1784811577839,1784811577430,37,-51.0,-50.0,,0,0.0,,,,,,1,
classroom_20260723_215645,classroom_20260723_215645__offset-01__1784811547911,offset-01,calibration,node-01,1784811578259,1784811577854,1632,-46.0,-45.0,,0,0.0,,,,,,1,
