idw_power,node02_offset_db,raw_sionna_mae_db,raw_sionna_rmse_db,plain_idw_mae_db,plain_idw_rmse_db,residual_idw_mae_db,residual_idw_rmse_db,residual_minus_plain_mae_db,residual_minus_plain_rmse_db
3,-2.0,8.556127512695449,10.485947439913957,4.619849749346456,5.475291460914224,5.506218463502307,6.47428925753019,0.886368714155851,0.9989977966159662
3,-1.75,8.384807054447574,10.297947958602307,4.831388210884918,5.682613616910963,5.602372309656153,6.57210739526033,0.7709840987712351,0.889493778349367
3,-1.5,8.263938236974466,10.112634206947504,5.042926672423379,5.893248548656638,5.69852615581,6.677856680065859,0.655599483386621,0.7846081314092208
3,-1.25,8.16778439082062,9.930156547052425,5.2544651339618405,6.1068534773142575,5.812825955914714,6.791166620262303,0.5583608219528733,0.6843131429480458
3,-1.0,8.071630544666773,9.750674207172109,5.5015618742833485,6.3231274169137945,5.947441340530099,6.911665377376831,0.44587946624675023,0.5885379604630367
3,-0.75,7.975476698512927,9.574355640974215,5.7515618742833485,6.5418056580479815,6.082056725145483,7.038983769941106,0.33049485086213437,0.4971781118931249
3,-0.5,7.879322852359081,9.401378855534869,6.0015618742833485,6.762654967156779,6.216672109760868,7.172758656065254,0.2151102354775194,0.4101036889084746
3,-0.25,7.783169006205235,9.23193169551971,6.2515618742833485,6.985469428889654,6.384772826099222,7.312635705600528,0.13321095181587328,0.32716627671087384
3,0.0,7.687015160051389,9.06621206878511,6.5015618742833485,7.210066856770027,6.557849749176144,7.458271595181315,0.05628787489279574,0.24820473841128798
3,0.25,7.590861313897543,8.904428096269188,6.7515618742833485,7.436285700283126,6.730926672253068,7.6093356748242575,-0.020635202030280908,0.17304997454113114
3,0.5,7.494707467743696,8.74679816659053,7.0015618742833485,7.663982382115512,6.904003595329991,7.765511163910451,-0.09755827895335756,0.10152878179493818
3,0.75,7.39855362158985,8.593550873330232,7.2515618742833485,7.893029006060895,7.077080518406914,7.9264959384006834,-0.1744813558764342,0.03346693233978826
3,1.0,7.302399775436005,8.444924810675232,7.5015618742833485,8.123311383152828,7.250157441483837,8.092002971214681,-0.25140443279951175,-0.03130841193814682
3,1.25,7.206245929282158,8.301168201126963,7.7515618742833485,8.354727330368238,7.42323436456076,8.261760484957907,-0.3283275097225884,-0.09296684541033073
3,1.5,7.110092083128312,8.162538327557476,8.001561874283349,8.587185202494684,7.5963112876376835,8.435511871574636,-0.40525058664566505,-0.15167333092004753
3,1.75,7.013938236974466,8.029300741302952,8.251561874283349,8.820602623352066,7.769388210714606,8.613015427836022,-0.4821736635687426,-0.20758719551604443
3,2.0,6.91778439082062,7.901728218543806,8.501561874283349,9.054905387480702,7.942465133791529,8.794043949447037,-0.5590967404918192,-0.2608614380336647
3,2.25,6.821630544666774,7.780099439285772,8.751561874283349,9.290026507678473,8.115542056868453,8.978384220419102,-0.6360198174148959,-0.31164228725937093
3,2.5,6.725476698512927,7.664697367190575,9.001561874283349,9.525905387442727,8.288618979945376,9.165836428506426,-0.7129428943379725,-0.3600689589363011
3,2.75,6.629322852359081,7.555807314646229,9.251561874283349,9.762487100511427,8.4616959030223,9.356213532129338,-0.7898659712610492,-0.4062735683820886
3,3.0,6.533169006205235,7.45371468608135,9.501561874283349,9.999721762368877,8.634772826099221,9.549340599406056,-0.8667890481841276,-0.45038116296282027
3,3.25,6.437015160051389,7.358702403749463,9.751561874283349,10.237563980846975,8.807849749176144,9.745054135720824,-0.9437121251072043,-0.4925098451261505
3,3.5,6.340861313897543,7.271048033976358,10.001561874283349,10.475972374871796,8.980926672253068,9.94320141266354,-1.020635202030281,-0.5327709622082555
3,3.75,6.278029562222004,7.191020647852071,10.251561874283349,10.71490915202825,9.154003595329991,10.143639808148698,-1.0975582789533576,-0.5712693438795515
3,4.0,6.220337254529697,7.118877467921339,10.501561874283349,10.954339736988278,9.327080518406914,10.346236165008202,-1.1744813558764342,-0.6081035719800756
