obstacle_id,vertex_index,scene_x,scene_y,scene_z,metric_x_m,metric_y_m,metric_z_m
Wall_03,4,-0.0031995341062261984,-0.8866789572627388,3.2499797750495967,5.6531770120000004,7.274869419,2.6100000000000003
Wall_03,5,0.3927252824370908,-0.8331826610869001,2.6259772082102835,5.6531770120000004,8.374869419,2.6100000000000003
Wall_03,6,3.46391435764383,-0.8303229300392815,4.574868159653011,0.25317701199999965,8.374869419,2.6100000000000003
Wall_03,7,3.0679895411005136,-0.8838192262151204,5.198870726492324,0.25317701199999965,7.274869419,2.6100000000000003
Wall_04,0,2.0565001330622685,1.1243105814081122,0.3862340600672898,5.346920695,12.704869419,0.010000000000000009
Wall_04,1,2.4524249496055863,1.1778068775839512,-0.2377685067720261,5.346920695,13.804869419000001,0.010000000000000009
Wall_04,2,3.618339320748885,1.1788925162223989,0.5020882433127127,3.2969206950000003,13.804869419000001,0.010000000000000009
Wall_04,3,3.2224145042055676,1.1253962200465601,1.1260908101520286,3.2969206950000003,12.704869419,0.010000000000000009
Wall_04,4,2.1254091580090844,-0.6224395989738457,0.2802058552959714,5.346920695,12.704869419,2.6100000000000003
Wall_04,5,2.5213339745524017,-0.568943302798007,-0.34379671154334446,5.346920695,13.804869419000001,2.6100000000000003
Wall_04,6,3.687248345695701,-0.5678576641595591,0.3960600385413944,3.2969206950000003,13.804869419000001,2.6100000000000003
Wall_04,7,3.2913235291523826,-0.621353960335398,1.0200626053807103,3.2969206950000003,12.704869419,2.6100000000000003
door_02,0,0.7743401339972685,0.5512270111938651,9.10540531407202,0.019190885999999997,0.724869419,0.0
door_02,1,0.7459031981157247,0.5512005322026834,9.087360027484587,0.06919088600000001,0.724869419,0.0
door_02,2,1.0698416843784386,0.5949702290738242,8.576812472797876,0.06919088600000001,1.624869419,0.0
door_02,3,1.0982786202599826,0.5949967080650059,8.594857759385308,0.019190885999999997,1.624869419,0.0
door_02,4,0.8273470762640496,-0.7924269737153334,9.023845156555621,0.019190885999999997,0.724869419,2.0
door_02,5,0.7989101403825057,-0.7924534527065149,9.00579986996819,0.06919088600000001,0.724869419,2.0
door_02,6,1.1228486266452198,-0.7486837558353742,8.495252315281478,0.06919088600000001,1.624869419,2.0
door_02,7,1.1512855625267635,-0.7486572768441925,8.51329760186891,0.019190885999999997,1.624869419,2.0
door_01,0,2.771960799284005,0.8211401418992337,5.957028726837299,0.019190885999999997,6.274869419,0.0
door_01,1,2.7435238634024612,0.821113662908052,5.938983440249867,0.06919088600000001,6.274869419,0.0
door_01,2,3.067462349665175,0.8648833597791927,5.428435885563155,0.06919088600000001,7.174869419,0.0
door_01,3,3.095899285546719,0.8649098387703744,5.4464811721505875,0.019190885999999997,7.174869419,0.0
door_01,4,2.824967741550786,-0.5225138430099648,5.875468569320901,0.019190885999999997,6.274869419,2.0
door_01,5,2.796530805669242,-0.5225403220011465,5.857423282733469,0.06919088600000001,6.274869419,2.0
door_01,6,3.120469291931956,-0.47877062513000557,5.346875728046757,0.06919088600000001,7.174869419,2.0
door_01,7,3.1489062278135,-0.4787441461388239,5.36492101463419,0.019190885999999997,7.174869419,2.0
door_03,0,-3.243138481045576,0.8945493568673754,0.727110631736128,11.719190886,8.049869419,0.010000000000000009
door_03,1,-3.27157541692712,0.8945228778761938,0.7090653451486943,11.769190886,8.049869419,0.010000000000000009
door_03,2,-2.4977223664106374,0.9990838204016967,-0.5105760354917823,11.769190886,10.199869418999999,0.010000000000000009
door_03,3,-2.4692854305290934,0.9991102993928784,-0.49253074890434867,11.719190886,10.199869418999999,0.010000000000000009
door_03,4,-3.190131538778795,-0.44910462804182294,0.6455504742197302,11.719190886,8.049869419,2.01
door_03,5,-3.218568474660339,-0.4491311070330045,0.6275051876322966,11.769190886,8.049869419,2.01
door_03,6,-2.4447154241438565,-0.34457016450750144,-0.5921361930081801,11.769190886,10.199869418999999,2.01
door_03,7,-2.4162784882623125,-0.34454368551631986,-0.5740909064207464,11.719190886,10.199869418999999,2.01
door_04,0,-2.1633435268365293,1.0404483464378447,-0.9747145505529105,11.719190886,11.049869419,0.010000000000000009
door_04,1,-2.1917804627180733,1.0404218674466632,-0.9927598371403423,11.769190886,11.049869419,0.010000000000000009
door_04,2,-1.4179274122015904,1.1449828099721662,-2.212401217780819,11.769190886,13.199869418999999,0.010000000000000009
door_04,3,-1.3894904763200464,1.1450092889633479,-2.194355931193387,11.719190886,13.199869418999999,0.010000000000000009
door_04,4,-2.1103365845697484,-0.3032056384713534,-1.0562747080693082,11.719190886,11.049869419,2.01
door_04,5,-2.1387735204512923,-0.3032321174625351,-1.07431999465674,11.769190886,11.049869419,2.01
door_04,6,-1.3649204699348094,-0.198671174937032,-2.2939613752972168,11.769190886,13.199869418999999,2.01
door_04,7,-1.3364835340532655,-0.19864469594585032,-2.275916088709785,11.719190886,13.199869418999999,2.01
window_01,0,-5.209766050472142,0.5063353602963878,5.844564817296817,10.114190886,0.04986941899999997,0.010000000000000009
window_01,1,-5.191769467901992,0.5087670101225623,5.816201064258667,10.114190886,0.09986941899999997,0.010000000000000009
window_01,2,-4.577531652860645,0.509338956332086,6.205979254547211,9.034190886000001,0.09986941900000004,0.010000000000000009
window_01,3,-4.595528235430796,0.5069073065059115,6.2343430075853625,9.034190886000001,0.04986941900000004,0.010000000000000009
window_01,4,-5.141917164370662,-1.2135417403873863,5.740167815675829,10.114190886,0.04986941899999997,2.5700000000000003
window_01,5,-5.123920581800512,-1.211110090561212,5.711804062637677,10.114190886,0.09986941899999997,2.5700000000000003
window_01,6,-4.509682766759165,-1.210538144351688,6.101582252926223,9.034190886000001,0.09986941900000004,2.5700000000000003
